Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
7/29/2016 13:46:28,Apps,4,3
7/29/2016 13:52:16,Apps,5,3
7/29/2016 16:10:41,Apps,5,4
7/29/2016 15:10:27,Apps,4,3
7/29/2016 14:18:21,Apps,3,3
7/29/2016 15:25:45,Apps,3,3
7/29/2016 16:41:48,Apps,4,3
7/29/2016 15:26:20,Apps,5,3
7/29/2016 13:20:33,Apps,2,2
7/29/2016 13:24:45,Apps,4,3
7/29/2016 13:47:43,Apps,3,3
7/29/2016 15:31:26,Apps,5,3
7/29/2016 15:28:06,Apps,5,2
7/29/2016 13:44:38,Games,3,3
7/29/2016 15:36:04,Games,4,3
7/29/2016 13:26:06,Games,4,3
7/29/2016 15:02:27,Games,5,3
7/29/2016 15:15:48,Games,4,3
7/29/2016 13:35:17,Games,4,4
7/29/2016 13:27:19,Games,4,4
7/29/2016 14:40:29,Games,3,4
7/29/2016 15:06:33,Games,4,3
7/29/2016 15:17:23,Games,4,4
7/29/2016 13:23:48,Games,4,2
7/29/2016 13:17:25,Intro,5,3
7/29/2016 13:19:14,Intro,5,2
7/29/2016 13:17:38,Intro,5,3
7/29/2016 13:46:22,Intro,5,4
7/29/2016 13:21:13,Intro,3,4
7/29/2016 13:11:56,Intro,4,3
7/29/2016 13:15:55,Intro,4,3
7/29/2016 13:16:10,Intro,4,3
7/29/2016 13:19:58,Intro,4,3
7/29/2016 13:17:35,Intro,5,3
7/29/2016 13:24:51,Intro,4,2
