Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
7/29/2016 6:54:22,Apps,2,2
7/29/2016 6:55:40,Apps,4,3
7/29/2016 7:26:56,Apps,4,4
7/29/2016 9:46:08,Apps,5,3
7/29/2016 11:17:08,Games,5,3
7/29/2016 13:11:59,Intro,4,3
7/29/2016 13:13:36,Apps,3,3
7/29/2016 13:14:07,Apps,5,3
7/29/2016 13:14:32,Games,3,3
7/29/2016 13:15:14,Apps,4,3
7/29/2016 13:17:10,Intro,5,4
7/29/2016 13:17:26,Intro,4,3
7/29/2016 13:17:34,Apps,5,3
7/29/2016 13:17:36,Apps,2,1
7/29/2016 13:17:47,Intro,4,3
7/29/2016 13:17:56,Apps,4,3
7/29/2016 13:19:10,Intro,5,3
7/29/2016 13:19:53,Games,4,3
7/29/2016 13:21:00,Apps,5,5
8/5/2016 12:40:44,Games,4,3
