Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
8/5/2016 13:37:43,Apps,3,3
8/5/2016 13:37:50,Apps,5,3
8/5/2016 13:39:25,Apps,3,3
8/5/2016 13:39:27,Apps,4,3
8/5/2016 13:41:05,Apps,4,3
8/5/2016 13:43:54,Apps,4,3
8/5/2016 13:34:26,Apps,3,3
8/5/2016 13:35:21,Apps,3,3
8/5/2016 13:35:36,Apps,5,3
8/5/2016 13:36:39,Apps,4,4
8/5/2016 13:39:14,Apps,4,3
8/5/2016 13:36:43,Apps,4,3
8/5/2016 13:49:53,Apps,4,3
8/5/2016 13:34:54,Apps,5,3
8/5/2016 13:38:26,Apps,4,3
8/5/2016 13:51:09,Apps,3,1
8/5/2016 13:52:31,Apps,5,2
8/5/2016 13:35:43,Apps,5,3
8/5/2016 13:38:05,Apps,3,3
8/5/2016 13:35:03,Apps,4,3
8/5/2016 13:36:44,Apps,2,3
8/5/2016 13:38:33,Apps,3,3
8/5/2016 13:40:07,Apps,3,4
8/5/2016 13:34:18,Apps,5,5
8/5/2016 13:34:53,Games,5,4
8/5/2016 13:38:00,Games,3,3
8/5/2016 13:51:41,Games,5,3
8/5/2016 13:34:04,Games,5,4
8/5/2016 13:32:40,Games,5,5
8/5/2016 15:07:12,Games,4,3
8/5/2016 13:36:23,Games,4,3
8/5/2016 13:51:20,Games,5,3
8/5/2016 13:39:45,Games,4,4
8/5/2016 14:44:00,Games,5,3
8/5/2016 14:03:39,Games,3,3
8/5/2016 13:47:15,Intro,4,4
8/5/2016 13:45:29,Intro,4,3
8/5/2016 13:49:31,Intro,5,3
8/5/2016 13:47:02,Intro,5,3
8/5/2016 13:48:45,Intro,5,3
8/5/2016 13:44:33,Intro,5,3
8/5/2016 13:43:43,Intro,5,4
8/5/2016 13:44:24,Intro,4,4
8/5/2016 13:43:17,Intro,4,3
8/5/2016 13:51:18,Intro,5,3
8/5/2016 13:43:35,Intro,4,2
8/7/2016 17:45:06,Apps,3,3
