Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
8/5/2016 12:34:16,Apps,3,3
8/5/2016 12:35:50,Apps,5,3
8/5/2016 12:36:31,Games,5,3
8/5/2016 12:36:55,Games,4,3
8/5/2016 12:37:12,Apps,4,3
8/5/2016 12:37:15,Intro,4,4
8/5/2016 12:39:02,Apps,5,3
8/5/2016 12:39:13,Games,5,4
8/5/2016 12:43:00,Games,4,3
8/5/2016 12:43:35,Apps,4,3
8/5/2016 12:45:05,Intro,5,3
8/5/2016 12:45:58,Games,3,3
8/5/2016 12:46:09,Games,5,4
8/5/2016 13:04:11,Apps,4,3
8/5/2016 13:13:02,Intro,4,3
8/5/2016 13:37:41,Apps,4,3
8/5/2016 13:39:55,Intro,5,4
