Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
7/22/2016 12:52:43,Apps,4,3
7/22/2016 12:53:47,Apps,5,3
7/23/2016 14:14:16,Apps,3,3
7/22/2016 14:37:17,Apps,2,3
7/22/2016 12:49:36,Games,4,3
7/22/2016 12:50:23,Games,4,3
7/22/2016 12:53:36,Apps,5,3
7/22/2016 13:11:42,Apps,3,3
7/22/2016 14:03:30,Apps,5,3
7/22/2016 14:25:23,Apps,4,4
7/22/2016 14:54:14,Apps,4,3
7/22/2016 14:26:04,Apps,5,3
7/22/2016 12:45:30,Intro,4,4
7/22/2016 14:25:54,Apps,5,3
7/22/2016 12:47:59,Apps,4,5
7/22/2016 16:21:04,Apps,2,2
7/22/2016 14:25:46,Apps,4,3
7/22/2016 15:53:14,Apps,5,4
7/22/2016 18:00:51,Apps,3,4
7/22/2016 12:51:51,Apps,4,4
7/22/2016 14:26:06,Apps,4,3
7/22/2016 14:27:03,Apps,4,3
7/22/2016 14:28:15,Apps,3,4
7/22/2016 12:43:02,Games,5,3
7/22/2016 12:46:29,Games,5,3
7/22/2016 12:50:31,Games,4,5
7/22/2016 14:26:59,Games,4,3
7/22/2016 14:27:45,Intro,4,3
7/22/2016 12:45:12,Intro,4,3
7/22/2016 13:00:34,Intro,5,3
7/22/2016 14:40:12,Intro,4,3
7/22/2016 12:44:15,Intro,4,3
7/22/2016 12:45:16,Intro,5,3
7/22/2016 12:49:41,Intro,4,4
7/22/2016 12:52:37,Intro,4,2
7/22/2016 12:52:51,Intro,5,3
7/22/2016 15:24:21,Games,3,5
7/22/2016 15:54:08,Games,5,2
7/22/2016 15:24:25,Games,3,3
7/22/2016 12:45:22,Games,5,3
7/22/2016 14:04:51,Games,5,3
