Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
7/22/2016 13:29:33,Apps,5,5
7/22/2016 13:35:20,Apps,5,3
7/22/2016 13:36:39,Apps,4,3
7/22/2016 13:37:15,Apps,4,3
7/22/2016 13:40:21,Apps,5,3
7/22/2016 13:44:52,Apps,4,4
7/22/2016 13:50:50,Games,3,5
7/22/2016 13:50:50,Apps,4,4
7/22/2016 13:51:22,Apps,5,4
7/22/2016 13:51:35,Games,4,3
7/22/2016 13:51:36,Apps,4,3
7/22/2016 13:51:44,Games,4,4
7/22/2016 13:52:05,Intro,4,3
7/22/2016 13:52:19,Apps,4,3
7/22/2016 13:52:41,Games,5,3
7/22/2016 13:53:19,Apps,4,3
7/22/2016 13:53:31,Games,5,3
7/22/2016 13:53:56,Apps,4,3
7/22/2016 13:54:46,Games,5,3
7/22/2016 13:54:52,Apps,5,3
7/22/2016 13:57:13,Games,4,3
