Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
7/15/2016 6:28:26,Apps,5,3
7/15/2016 6:29:53,Apps,5,3
7/15/2016 6:30:09,Apps,4,3
7/15/2016 6:30:24,Apps,4,3
7/15/2016 6:31:29,Games,4,4
7/15/2016 6:31:36,Intro,4,4
7/15/2016 6:32:19,Apps,4,4
7/15/2016 6:36:55,Apps,5,3
7/15/2016 6:37:43,Apps,4,5
7/15/2016 6:57:30,Apps,5,3
7/15/2016 7:03:28,Apps,4,4
7/15/2016 7:30:38,Games,4,4
7/15/2016 7:37:15,Apps,5,3
7/15/2016 7:47:54,Games,4,3
7/15/2016 10:11:32,Apps,4,3
7/15/2016 10:18:52,Apps,4,3
