What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
Apps,8/5/2016 11:13:01,5,5
Apps,8/5/2016 11:17:11,3,3
Apps,8/5/2016 11:17:52,5,3
Apps,8/5/2016 11:18:01,5,4
Apps,8/5/2016 11:20:15,4,3
Apps,8/5/2016 11:21:10,5,3
Apps,8/5/2016 12:11:04,5,3
Apps,8/5/2016 19:14:21,4,4
Games,8/5/2016 11:39:18,5,3
Games,8/5/2016 12:27:18,5,4
Intro,8/5/2016 11:20:43,4,3
Intro,8/5/2016 11:38:52,4,4
Intro,8/5/2016 11:56:23,5,3
Intro,8/5/2016 12:35:08,5,3
Intro,8/7/2016 10:45:47,4,5
VR,8/5/2016 11:21:38,5,3
VR,8/8/2016 8:35:18,1,3
VR,8/8/2016 8:39:01,3,5
VR,8/8/2016 9:41:39,2,2
