Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
7/15/2016 13:30:19,Apps,2,1
7/15/2016 13:31:54,Apps,3,3
7/15/2016 13:35:36,Apps,4,4
7/15/2016 13:58:34,Apps,4,3
7/15/2016 14:01:42,Apps,5,3
7/15/2016 14:09:14,Apps,4,3
7/15/2016 14:10:40,Apps,4,3
7/15/2016 14:15:40,Apps,4,3
7/15/2016 14:26:18,Apps,4,2
7/15/2016 15:54:39,Apps,4,4
7/15/2016 15:54:51,Apps,3,3
7/15/2016 15:55:54,Apps,4,4
7/15/2016 15:55:56,Apps,5,3
7/15/2016 15:56:10,Apps,4,3
7/15/2016 15:56:18,Apps,5,3
7/15/2016 15:57:37,Apps,3,4
7/15/2016 15:57:50,Apps,4,3
7/15/2016 15:58:36,Apps,4,4
7/15/2016 15:58:47,Apps,4,4
7/15/2016 16:03:01,Apps,4,4
7/15/2016 16:06:23,Apps,5,3
7/15/2016 16:21:10,Apps,5,4
7/15/2016 16:23:07,Apps,5,3
7/15/2016 16:55:20,Apps,4,4
7/15/2016 17:11:41,Apps,5,1
7/17/2016 9:52:10,Apps,5,3
7/18/2016 10:35:56,Apps,4,3
7/15/2016 13:56:01,Games,5,2
7/15/2016 13:56:03,Games,5,3
7/15/2016 13:58:40,Games,4,3
7/15/2016 14:00:09,Games,4,4
7/15/2016 14:00:41,Games,4,4
7/15/2016 15:51:03,Games,5,5
7/15/2016 15:57:04,Games,5,3
7/15/2016 15:58:21,Games,3,3
7/15/2016 14:03:03,Intro,5,4
